Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID
11 April 2022	rt.com	https://russian.rt.com/world/news/990053-ssha-rossiya-sankcii	аналитик федосова  к союзникам сша приходит осознание последствий попыток  изолировать россию	1
11 April 2022	rt.com	https://russian.rt.com/world/news/989994-ssha-izolyaciya-rossiya	в минфине сша заявили о намерении усилить изоляцию россии на время спецоперации на украине	1
4 April 2022	rt.com	https://russian.rt.com/world/news/987077-germaniya-ekspert-sankcii	немецкий экономист бек заявил об изоляции запада после введения антироссийских санкций	1
28 March 2022	rt.com	https://russian.rt.com/world/news/984567-belorussiya-zapad-prichiny-izolyaciya	глава белорусского мид объяснил попытки запада изолировать белоруссию и россию	1
28 March 2022	rt.com	https://russian.rt.com/world/news/982236-lavrov-izolyaciya-rossiya	лавров  никакой изоляции россии нет	1
7 March 2022	rt.com	https://russian.rt.com/world/news/973233-mid-rossiya-sankcii	в мид россии заявили  что высокотехнологичные отрасли не окажутся в изоляции из за санкций	1
21 February 2022	rt.com	https://russian.rt.com/world/news/968496-izolyaciya-rossiya-swift	британский премьер джонсон назвал отключение россии от swift первым шагом к изоляции	1
24 January 2022	rt.com	https://russian.rt.com/world/news/952706-daniya-sankcii-rossiya-ukraina	политолог бальбек ответил на угрозы главы мид дании о полной изоляции россии	1
17 January 2022	rt.com	https://russian.rt.com/world/news/950639-ssha-rossiya-oon	постпред сша при оон рассказала о готовности добиваться  изоляции россии	1
25 July 2022	rt.com	https://russian.rt.com/world/article/1030479-zapad-izolyaciya-rossiya	ставка не сыграла   почему запад терпит неудачу в стремлении изолировать россию от остального мира	1
18 July 2022	rt.com	https://russian.rt.com/world/article/1029393-zapad-izolyaciya-strategiya-rossiya	единый фронт против кремля   как на западе постепенно признают провал стратегии по изоляции россии	1
18 July 2022	rt.com	https://russian.rt.com/world/article/1027581-rossiya-ssha-izolyaciya	гегемония вашингтона рухнула   почему сша не оставляют попыток изолировать россию на международной арене	1
30 May 2022	rt.com	https://russian.rt.com/world/article/1011302-zelenskii-goroda-pobratimy-izolyaciya-rossiya	фейк киевского режима   как украинские власти пытаются убедить запад в необходимости изолировать россию	1
30 May 2022	rt.com	https://russian.rt.com/world/article/1011302-zelenskii-goroda-pobratimy-izolyaciya-rossiya	фейк киевского режима   как украинские власти пытаются изолировать россию	1
18 April 2022	rt.com	https://russian.rt.com/world/article/994618-rossiya-germaniya-evrosoyuz-energonositeli	отображают действительность   почему в германии считают невозможной долгосрочную изоляцию россии	1
4 April 2022	rt.com	https://russian.rt.com/ussr/news/986603-litva-evropa-izolirovatsya-rossiya-kultura	спикер парламента литвы призвала европу изолироваться от россии в сфере культуры	1
