Week of fetchdate_orig	page_domain_root	page_url	title_new	Distinct count of ID	topic
March 21, 2022	regnum.ru	https://regnum.ru/news/3540104.html	эксперт назвала причины роста инфляции в европе	1	Inflation in the West
March 21, 2022	regnum.ru	https://regnum.ru/news/3539993.html	эксперт ожидает усиления инфляции в европе во втором квартале	1	Inflation in the West
March 14, 2022	regnum.ru	https://regnum.ru/news/3536611.html	профессор вшэ дал прогноз по темпам инфляции в сша в      году	1	Inflation in the West
March 14, 2022	regnum.ru	https://regnum.ru/news/3536597.html	инфляция в сша частично вышла из под контроля   мнение экономиста	1	Inflation in the West
March 14, 2022	regnum.ru	https://regnum.ru/news/3532869.html	инфляция в сша достигла максимальных значений с      года	1	Inflation in the West
February 28, 2022	regnum.ru	https://regnum.ru/news/3523114.html	конфликт в восточной европе подстегнул бразильскую инфляцию	1	Inflation in the West
February 21, 2022	regnum.ru	https://regnum.ru/news/3516570.html	весной      года в рф будет очередная волна инфляции   экономист	1	Inflation in the West
February 21, 2022	regnum.ru	https://regnum.ru/news/3514119.html	за санкции против рф ес расплатится инфляцией и промышленным спадом	1	Inflation in the West
February 14, 2022	regnum.ru	https://regnum.ru/news/3510540.html	не намного лучше    путин сравнил инфляцию в россии и на западе	1	Inflation in the West
February 14, 2022	regnum.ru	https://regnum.ru/news/3509841.html	ситуация из ряда вон     экономист о росте инфляции на западе	1	Inflation in the West
February 14, 2022	regnum.ru	https://regnum.ru/news/3507973.html	экономист рассказал  как власти сша будут сбивать высокую инфляцию	1	Inflation in the West
February 14, 2022	regnum.ru	https://regnum.ru/news/3507082.html	инфляция тоже неминуема  но сша молчат     сети о блефе по поводу украины	1	Inflation in the West
February 7, 2022	regnum.ru	https://regnum.ru/news/3505005.html	байден сделал сша уязвимыми по всем параметрам    сети о росте инфляции	1	Inflation in the West
February 7, 2022	regnum.ru	https://regnum.ru/news/3504873.html	байден пообещал спад инфляции в сша в      году	1	Inflation in the West
February 7, 2022	regnum.ru	https://regnum.ru/news/3504565.html	рост нефти приостановила рекордная инфляция в сша	1	Inflation in the West
February 7, 2022	regnum.ru	https://regnum.ru/news/3501682.html	инфляция во франции в ближайшие месяцы составит от    до        insee	1	Inflation in the West
January 31, 2022	regnum.ru	https://regnum.ru/news/3495511.html	при подсчёте инфляции в италии учтут газ  тампоны и covid тесты	1	Inflation in the West
January 10, 2022	regnum.ru	https://regnum.ru/news/3475982.html	политическая цена за рост инфляции в сша   не по карману демпартии	1	Inflation in the West
January 10, 2022	regnum.ru	https://regnum.ru/news/3474268.html	нефть дорожает перед выходом данных по инфляции в сша	1	Inflation in the West
July 25, 2022	riafan.ru	https://riafan.ru/23562690-ekonomist_yushkov_nazval_inflyatsiyu_v_evrope_samoi_sil_noi_za_vsyu_istoriyu_soyuza	экономист юшков назвал инфляцию в европе самой сильной за всю историю союза	1	Inflation in the West
July 25, 2022	riafan.ru	https://riafan.ru/23560811-inflyatsiya_vinudila_evropu_otvernut_sya_ot_ukrainskih_bezhentsev	инфляция вынудила европу отвернуться от украинских беженцев	1	Inflation in the West
July 18, 2022	riafan.ru	https://riafan.ru/23546756-pochti_2_milliona_britantsev_vinuzhdeni_est_vsego_odin_raz_v_den_iz_za_visokoi_inflyatsii	почти   миллиона британцев вынуждены есть всего один раз в день из за высокой инфляции	1	Inflation in the West
July 11, 2022	riafan.ru	https://riafan.ru/23537040-ek_nazvala_devyat_stran_evropi_gde_rezko_virastet_inflyatsiya	ек назвала девять стран европы  где резко вырастет инфляция	1	Inflation in the West
July 11, 2022	riafan.ru	https://riafan.ru/23536213-valyutnii_kurs_inflyatsiya_i_tseni_na_neft_est_li_predposilki_dlya_snizheniya_klyuchevoi_stavki_v_rf	валютный курс  инфляция и цены на нефть  есть ли предпосылки для снижения ключевой ставки в рф	1	Inflation in the West
July 4, 2022	riafan.ru	https://riafan.ru/23522643-washington_post_real_naya_inflyatsiya_v_ssha_namnogo_vishe_ofitsial_nih_dannih	washington post  реальная инфляция в сша намного выше официальных данных	1	Inflation in the West
