Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1707419-dozhdemsja_li_my_sdachi_v_plen/	сладков  в подземельях  азовстали  нацисты ни с кем не делятся едой и водой	True	10864	(?=.*).*	(наци)	(азовстал)
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1708661-kuchma_juschenko_i_poroshenko/	три экс президента украины призывают спасти украинских нацистов с  азовстали	True	51	(?=.*).*	(наци)	(азовстал)
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1708839-turcija_gotova_napravit_korabl/	турция готова направить корабль для эвакуации украинских нацистов с  азовстали	True	3387	(?=.*).*	(наци)	(азовстал)
18 April 2022	tvc.ru	http://www.tvc.ru/news/show/id/238517	националисты расправляются с наемниками  что сейчас происходит у  азовстали	True	101597	(?=.*).*	(наци)	(азовстал)
25 April 2022	tvc.ru	http://www.tvc.ru/news/show/id/238865	захарова  киев не хочет выхода националистов с  азовстали	True	111675	(?=.*).*	(наци)	(азовстал)
2 May 2022	tvc.ru	http://www.tvc.ru/news/show/id/239284	засевшие на  азовстали  националисты вышли на боевые позиции	True	111681	(?=.*).*	(наци)	(азовстал)
2 May 2022	tvc.ru	http://www.tvc.ru/news/show/id/239473	последний оплот националистов  что известно о ситуации на  азовстали	True	86648	(?=.*).*	(наци)	(азовстал)
23 May 2022	tvc.ru	http://www.tvc.ru/news/show/id/240906	как выглядит завод  азовсталь  после освобождения от националистов	True	96869	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/22927842-basurin_predlozhil_zadeistvovat_himvoiska_dlya_vikurivaniya_natsionalistov_iz_azovstali_	басурин предложил задействовать химвойска для  выкуривания  националистов из  азовстали	True	421478	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/22928118-na_poroge_azovstali_kak_rossiya_i_dnr_unichtozhayut_poslednii_oplot_natsistov_v_mariupole	на пороге  азовстали   как россия и днр уничтожают последний оплот нацистов в мариуполе	True	421090	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/23067205-genial_naya_ideya_mariupol_tsi_predlozhili_neobichnii_sposob_vikurivaniya_natsistov_iz_katakomb_azovstali_	гениальная идея  мариупольцы предложили необычный способ выкуривания нацистов из катакомб  азовстали	True	417043	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/23076051-predstavitel_dnr_gagin_ukrainskie_natsionalisti_prodolzhat_popitki_uiti_s_azovstali_	представитель днр гагин  украинские националисты продолжат попытки уйти с  азовстали	True	420541	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/23076626-aviaudari_vks_rf_lishili_natsionalistov_podzemnih_tonnelei_zavoda_azovstal_v_mariupole	авиаудары вкс рф лишили националистов подземных тоннелей завода  азовсталь  в мариуполе	True	429047	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/23078834-zablokirovannie_na_azovstali_ukrainskie_natsionalisti_otkazalis_slozhit_oruzhie	заблокированные на  азовстали  украинские националисты отказались сложить оружие	True	425075	(?=.*).*	(наци)	(азовстал)
11 April 2022	riafan.ru	https://riafan.ru/23079013-chto_proizoshlo_na_ukraine_17_aprelya_istekshii_ul_timatum_natsistam_na_azovstali_i_snos_pamyatnika_zhukovu_v_har_kove	что произошло на украине    апреля  истекший ультиматум нацистам на  азовстали  и снос памятника жукову в харькове	True	425029	(?=.*).*	(наци)	(азовстал)
28 February 2022	tvzvezda.ru	https://tvzvezda.ru/news/2022321939-WQ7Ug.html	минобороны рф  украинские националисты готовят подрыв завода  азовсталь  вместе с рабочими	True	480664	(?=.*).*	(наци)	(азовстал)
21 March 2022	tvzvezda.ru	https://tvzvezda.ru/news/20223262228-UTIZX.html	в днр рассказали о блокировке националистов на заводе  азовсталь  в мариуполе	True	479637	(?=.*).*	(наци)	(азовстал)
25 April 2022	pravda.ru	https://www.pravda.ru/news/world/1704010-azovstal/	подозрительная пара  женщина из  азовстали  похожа на украинскую снайпершу  мужчина   на нациста	True	349218	(?=.*).*	(наци)	(азовстал)
9 May 2022	pravda.ru	https://www.pravda.ru/news/showbiz/1708891-kalush_orchestra_v_finale_evrovidenija/	kalush orchestra со сцены  евровидения  призвала помочь нацистам на  азовстали	True	340372	(?=.*).*	(наци)	(азовстал)
16 May 2022	pravda.ru	https://www.pravda.ru/news/society/1711307-v_daily_mail_osudili_odnobokoe/	в daily mail осудили однобокое освещение ситуацию со сдачей в плен нацистов с  азовстали	True	349579	(?=.*).*	(наци)	(азовстал)
30 May 2022	pravda.ru	https://www.pravda.ru/news/politics/1715616-moskva_otkazyvaetsja_obsuzhdat/	москва отказывается обсуждать с киевом варианты обмена пленных нацистов с  азовстали	True	351883	(?=.*).*	(наци)	(азовстал)
18 April 2022	aif.ru	https://aif.ru/politics/world/pushilin_zasevshim_na_azovstali_nacionalistam_ostalos_nedolgo	пушилин  засевшим на  азовстали  националистам  осталось недолго	True	180147	(?=.*).*	(наци)	(азовстал)
25 April 2022	aif.ru	https://aif.ru/politics/world/pushilin_nacionalisty_prosyat_rf_i_dnr_vyvezti_ih_s_azovstali_v_turciyu	пушилин  националисты просят рф и днр вывезти их с  азовстали  в турцию	True	184999	(?=.*).*	(наци)	(азовстал)
11 April 2022	ura.news	https://ura.news/news/1052546238	в днр предрекли новые бои с националистам на  азовстали	True	301192	(?=.*).*	(наци)	(азовстал)
11 April 2022	ura.news	https://ura.news/news/1052546457	появились кадры c удерживаемого националистами завода  азовсталь	True	297433	(?=.*).*	(наци)	(азовстал)
11 April 2022	ura.news	https://ura.news/news/1052546457	появились кадры завода  азовсталь   где сидят националисты	True	297432	(?=.*).*	(наци)	(азовстал)
18 April 2022	ura.news	https://ura.news/news/1052546504	кп  националистов в  азовстали  уничтожат с помощью огнеметов	True	300924	(?=.*).*	(наци)	(азовстал)
18 April 2022	ura.news	https://ura.news/news/1052547698	украинский военнопленный раскрыл страх нацистов на  азовстали	True	297988	(?=.*).*	(наци)	(азовстал)
25 April 2022	ura.news	https://ura.news/news/1052548614	националисты с  азовстали  попытались обмануть российских военных	True	298287	(?=.*).*	(наци)	(азовстал)
2 May 2022	ura.news	https://ura.news/news/1052551451	мо рф  националисты планируют повторить опыт  азовстали  в лнр	True	293228	(?=.*).*	(наци)	(азовстал)
16 May 2022	ura.news	https://ura.news/articles/1036284561	инвалиды под  азовсталью  стали психическим оружием националистов	True	299676	(?=.*).*	(наци)	(азовстал)
16 May 2022	ura.news	https://ura.news/news/1052554231	пушилин раскрыл судьбу сдавшихся нацистов с  азовстали	True	299963	(?=.*).*	(наци)	(азовстал)
16 May 2022	ura.news	https://ura.news/news/1052554902	шойгу раскрыл  сколько неонацистов сдалось на  азовстали	True	298773	(?=.*).*	(наци)	(азовстал)
23 May 2022	ura.news	https://ura.news/news/1052555515	депутат госдумы  зеленский закончит  как нацисты на  азовстали	True	299454	(?=.*).*	(наци)	(азовстал)
30 May 2022	ura.news	https://ura.news/news/1052557498	украинские националисты пробрались на  азовсталь   нарисовав z	True	299811	(?=.*).*	(наци)	(азовстал)
23 May 2022	regnum.ru	https://regnum.ru/news/3602606.html	боятся ответственности    сети о скрывающихся на  азовстали  нацистах	True	383208	(?=.*).*	(наци)	(азовстал)
6 June 2022	regnum.ru	https://regnum.ru/news/3611582.html	пушилин  лидеры нацистов из  азовстали  начали давать показания	True	397273	(?=.*).*	(наци)	(азовстал)
18 April 2022	lenta.ru	https://lenta.ru/news/2022/04/20/kadyrov/	кадыров рассказал о зачистке  азовстали  от украинских националистов	True	290174	(?=.*).*	(наци)	(азовстал)
2 May 2022	lenta.ru	https://lenta.ru/news/2022/05/04/pole/	кадыров обратился к скрывающемуся на  азовстали  командиру националистов	True	277287	(?=.*).*	(наци)	(азовстал)
11 April 2022	military.pravda.ru	https://military.pravda.ru/news/1698199-ukraina_azovstal_kadyrov/	кадыров выложил видео боёв с нацистами на заводе  азовсталь	True	65623	(?=.*).*	(наци)	(азовстал)
18 April 2022	military.pravda.ru	https://military.pravda.ru/news/1701651-azovstal/	националисты с  азовстали  не воспользовались коридором для сдачи в плен	True	55753	(?=.*).*	(наци)	(азовстал)
18 April 2022	military.pravda.ru	https://military.pravda.ru/news/1701653-nacisty_ukrainy/	нацисты на  азовстали  игнорируют требования освободить детей и женщин   минобороны	True	66457	(?=.*).*	(наци)	(азовстал)
25 April 2022	military.pravda.ru	https://military.pravda.ru/news/1704492-nacisty/	лавров назвал причину  истеричного  желания вывести нацистов с  азовстали	True	53802	(?=.*).*	(наци)	(азовстал)
9 May 2022	military.pravda.ru	https://military.pravda.ru/news/1708815-boeviki_sdelajut_vtoruju_azovstal/	где нацисты оборудуют  одесскую азовсталь	True	55324	(?=.*).*	(наци)	(азовстал)
20 June 2022	mk.ru	https://www.mk.ru/politics/2022/06/26/boeviki-azova-ubili-i-sozhgli-tela-inostrannykh-naemnikov.html	на заводе  азовсталь  националисты уничтожили тела     иностранных наемников	True	143243	(?=.*).*	(наци)	(азовстал)
11 April 2022	rg.ru	https://rg.ru/2022/04/14/rabochij-s-azovstali-rasskazal-ob-ukrepleniiah-nacionalistov.html	рабочий с  азовстали  рассказал об укреплениях националистов	True	160018	(?=.*).*	(наци)	(азовстал)
18 April 2022	rg.ru	https://rg.ru/2022/04/21/peskov-nacionalisty-na-azovstali-ne-pomeshaiut-vozvrashcheniiu-mariupolia-k-mirnoj-zhizni.html	песков  националисты на  азовстали  не помешают возвращению мариуполя к мирной жизни	True	160055	(?=.*).*	(наци)	(азовстал)
30 May 2022	ria.ru	https://ria.ru/20220531/osmotr-1791909764.html	на  азовстали  нашли иностранное оружие и сожженную форму националистов	True	233914	(?=.*).*	(наци)	(азовстал)
11 April 2022	life.ru	https://life.ru/p/1486280	катакомбы мариуполя  как армия россии будет выкуривать националистов из  крысиных нор   азовстали	True	62073	(?=.*).*	(наци)	(азовстал)
16 May 2022	life.ru	https://life.ru/p/1495569	расист и создатель сверхлюдей  как основатель  азова  билецкий загнал нацистов в подвалы  азовстали	True	49352	(?=.*).*	(наци)	(азовстал)
6 June 2022	riafan.ru	https://riafan.ru/23479886-ukrainskie_neonatsisti_ostavili_na_azovstali_telefoni_s_kadrami_rasstrelov_detei_i_zhenschin	украинские неонацисты оставили на  азовстали  телефоны с кадрами расстрелов детей и женщин	True	436757	(?=.*).*	(наци)	(азовстал)
6 June 2022	riafan.ru	https://riafan.ru/23483696-politolog_shipilin_zapertie_na_zavode_azot_ukrainskie_soldati_povtoryat_sud_bu_natsistov_iz_azovstali	политолог шипилин  запертые на заводе  азот  украинские солдаты повторят судьбу нацистов из  азовстали	True	430927	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23448889-hodakovskii_natsionalisti_otbirali_edu_u_voennosluzhaschih_vsu_na_azovstali	ходаковский  националисты отбирали еду у военнослужащих всу на  азовстали	True	421788	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23449095-zapeli_solov_em_plenennie_ukrainskie_voennie_massovo_sdayut_natsistov_s_azovstali	запели соловьем  плененные украинские военные массово сдают нацистов с  азовстали	True	421782	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23449459-selivanov_nazval_padenie_azovstali_krupnoi_pobedoi_rossii_nad_ukrainskim_natsizmom	селиванов назвал падение  азовстали  крупной победой россии над украинским нацизмом	True	422924	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23449964-voennii_ekspert_krasnoperov_zelenskii_ne_ostavlyaet_popitok_zamyat_pravdu_o_kapitulyatsii_natsistov_iz_azovstali	военный эксперт красноперов  зеленский не оставляет попыток замять правду о капитуляции нацистов из  азовстали	True	422997	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23450626-opublikovani_kadri_tonnelya_v_azovstali_iz_kotorogo_vihodili_ukrainskie_natsionalisti	опубликованы кадры тоннеля в  азовстали   по которому выходили сдаваться украинские националисты	True	426917	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23451422-ispugalis_po_nastoyaschemu_kedmi_ob_yasnil_pochemu_na_samom_dele_natsisti_vse_taki_vishli_s_azovstali	испугались по настоящему  кедми объяснил  почему на самом деле нацисты все таки вышли с  азовстали	True	425271	(?=.*).*	(наци)	(азовстал)
16 May 2022	riafan.ru	https://riafan.ru/23451547-voenkori_fan_nashli_ryadom_s_azovstal_yu_avtomat_s_natsi_tyuningom	военкоры фан нашли рядом с  азовсталью  автомат с  наци тюнингом	True	417374	(?=.*).*	(наци)	(азовстал)
27 June 2022	riafan.ru	https://riafan.ru/23511227-natsionalist_mol_far_rasskazal_kak_pokinul_azovstal_na_vertolete	националист мольфар рассказал  как покинул  азовсталь  на вертолете	True	438299	(?=.*).*	(наци)	(азовстал)
4 April 2022	regnum.ru	https://regnum.ru/news/polit/3560197.html	взятый в плен националист рассказал об иностранных войсках в  азовстали	True	373624	(?=.*).*	(наци)	(азовстал)
18 April 2022	iz.ru	https://iz.ru/1322239/2022-04-18/v-dnr-presekli-dve-popytki-proryva-natcionalistov-s-azovstali	в днр пресекли две попытки прорыва националистов с  азовстали	True	133565	(?=.*).*	(наци)	(азовстал)
18 April 2022	iz.ru	https://iz.ru/1324462/2022-04-22/u-broshennykh-komandirami-natcistov-s-azovstali-podorvan-boevoi-dukh	у брошенных командирами нацистов с  азовстали  подорван боевой дух	True	132619	(?=.*).*	(наци)	(азовстал)
18 April 2022	iz.ru	https://iz.ru/1325501/2022-04-24/byvshii-rabotnik-azovstali-pokazal-vozmozhnye-ukrytiia-natcionalistov	бывший работник  азовстали  показал возможные укрытия националистов	True	133697	(?=.*).*	(наци)	(азовстал)
25 April 2022	iz.ru	https://iz.ru/1328544/2022-04-30/u-pokinuvshego-azovstal-muzhchiny-nashli-foto-s-natcistskoi-simvolikoi	у покинувшего  азовсталь  мужчины нашли фото с нацистской символикой	True	133459	(?=.*).*	(наци)	(азовстал)
2 May 2022	iz.ru	https://iz.ru/1330434/2022-05-05/v-gosdume-sravnili-s-terroristami-natcionalistov-na-azovstali	в госдуме сравнили с террористами националистов на  азовстали	True	133404	(?=.*).*	(наци)	(азовстал)
16 May 2022	iz.ru	https://iz.ru/1337349/2022-05-20/bolee-19-tys-ukrainskikh-natcionalistov-s-azovstali-sdalis-v-plen	более     тыс  украинских националистов с  азовстали  сдались в плен	True	134068	(?=.*).*	(наци)	(азовстал)
18 April 2022	kazak-center.ru	https://kazak-center.ru/publ/novosti_kazak_inform/specoperacija_na_ukraine/podzemnaja_laboratorija_i_tysjachi_zombi_nacistov_tajna_azovstali_dozhivaet_poslednie_dni/178-1-0-7800	подземная лаборатория и тысячи зомби нацистов  тайна  азовстали  доживает последние дни   спецоперация на украине   новости киац   каталог статей	True	23011	(?=.*).*	(наци)	(азовстал)
11 April 2022	rueconomics.ru	https://rueconomics.ru/23079031-chto_proizoshlo_na_ukraine_17_aprelya_istekshii_ul_timatum_natsistam_na_azovstali_i_snos_pamyatnika_zhukovu_v_har_kove	что произошло на украине    апреля  истекший ультиматум нацистам на  азовстали  и снос памятника жукову в харькове	True	525376	(?=.*).*	(наци)	(азовстал)
25 April 2022	rueconomics.ru	https://rueconomics.ru/23151720-litovkin_ukrainskie_vlasti_doveli_natsionalistov_v_azovstali_do_zhelaniya_bezhat_v_turtsiyu	литовкин  украинские власти довели националистов в  азовстали  до желания бежать в турцию	True	528129	(?=.*).*	(наци)	(азовстал)
9 May 2022	rueconomics.ru	https://rueconomics.ru/23188865-polkovnik_nasonov_zasevshie_v_azovstali_natsionalisti_mogut_reshit_sya_na_samounichtozhenie	полковник насонов  засевшие в  азовстали  националисты могут решиться на самоуничтожение	True	526485	(?=.*).*	(наци)	(азовстал)
9 May 2022	rueconomics.ru	https://rueconomics.ru/23247717-senator_dzhabarov_turtsii_ne_stoit_predlagat_pomosch_natsionalistam_v_azovstali	сенатор джабаров  турции не стоит предлагать помощь националистам в  азовстали	True	527375	(?=.*).*	(наци)	(азовстал)
23 May 2022	rueconomics.ru	https://rueconomics.ru/23457469-basurin_ostavshiesya_v_azovstali_natsionalisti_ne_okazivayut_soprotivleniya_pri_zaderzhanii	басурин  оставшиеся в  азовстали  националисты не оказывают сопротивления при задержании	True	527674	(?=.*).*	(наци)	(азовстал)
