Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
25 July 2022	riafan.ru	https://riafan.ru/23554966-vks_rf_unichtozhili_bolee_100_natsionalistov_i_inostrannih_naemnikov_v_konstantinovke	вкс рф уничтожили более     националистов и иностранных наемников в константиновке	True	434050	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	aif.ru	https://aif.ru/incidents/vs_rf_unichtozhili_punkty_upravleniya_nacionalistov_okolo_harkova	вс рф уничтожили пункты управления националистов около харькова	True	180319	(?=.*).*	(уничтож)	(наци|националист)
20 June 2022	aif.ru	https://aif.ru/politics/world/mo_rf_vks_unichtozhili_500_nacionalistov_na_zavode_okean_v_nikolaeve	мо рф  вкс уничтожили     националистов на заводе  океан  в николаеве	True	185705	(?=.*).*	(уничтож)	(наци|националист)
16 May 2022	riafan.ru	https://riafan.ru/23441928-minoboroni_rf_zayavilo_ob_unichtozhenii_280_ukrainskih_natsionalistov_za_sutki	минобороны рф заявило об уничтожении     украинских националистов за сутки	True	432474	(?=.*).*	(уничтож)	(наци|националист)
7 February 2022	rt.com	https://russian.rt.com/science/article/958941-razvedchik-aleksei-botyan	самородок разведки   как алексей ботян воевал в тылу нацистов и спас от уничтожения краков	True	247356	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	regnum.ru	https://regnum.ru/news/3610777.html	кадыров заявил об уничтожении группы националистов в камышевахе	True	393756	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	regnum.ru	https://regnum.ru/news/3611182.html	силы лнр за сутки уничтожили    националиста	True	389721	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	regnum.ru	https://regnum.ru/news/3612357.html	силы лнр за сутки уничтожили    украинских националистов	True	398924	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	regnum.ru	https://regnum.ru/news/3613558.html	российские войска уничтожили в боях за святогорск более     националистов	True	384286	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	regnum.ru	https://regnum.ru/news/polit/3613591.html	вс россии за сутки уничтожили свыше     украинских нацистов	True	387238	(?=.*).*	(уничтож)	(наци|националист)
6 June 2022	regnum.ru	https://regnum.ru/news/polit/3615807.html	вс рф уничтожили     взрывных устройства в национальном парке  святые горы	True	401174	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	regnum.ru	https://regnum.ru/news/accidents/3617532.html	в днр за сутки уничтожили более    украинских националистов	True	354790	(?=.*).*	(уничтож)	(наци|националист)
13 June 2022	regnum.ru	https://regnum.ru/news/3618017.html	российская авиация уничтожила более     украинских националистов	True	353507	(?=.*).*	(уничтож)	(наци|националист)
28 March 2022	tatar-inform.ru	https://www.tatar-inform.ru/news/minoborony-v-xarkove-100-nacionalistov-i-naemnikov-unictozeny-udarom-iskandera-5861046	минобороны  в харькове     националистов и наемников уничтожены ударом  искандера	True	530306	(?=.*).*	(уничтож)	(наци|националист)
4 April 2022	tatar-inform.ru	https://www.tatar-inform.ru/news/minoborony-rf-soobshhilo-ob-unictozenii-staba-nacionalisticeskogo-batalyona-dnepr-5861977	мо россии сообщило об уничтожении штаба националистического батальона  днепр  в звонецком	True	531312	(?=.*).*	(уничтож)	(наци|националист)
14 March 2022	mk.ru	https://www.mk.ru/politics/2022/03/17/rossiyskie-voennye-unichtozhili-pozicii-ukrainskikh-nacionalistov-v-kievskoy-oblasti.html	российские военные уничтожили позиции украинских националистов в киевской области	True	138655	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	riafan.ru	https://riafan.ru/23461723-boitsi_narodnoi_militsii_lnr_unichtozhili_32_ukrainskih_natsionalista_za_sutki	бойцы народной милиции лнр уничтожили    украинских националиста за сутки	True	418020	(?=.*).*	(уничтож)	(наци|националист)
23 May 2022	riafan.ru	https://riafan.ru/23462811-podrazdeleniya_nm_dnr_s_nachala_sutok_unichtozhili_43_ukrainskih_natsionalista	подразделения нм днр с начала суток уничтожили    украинских националиста	True	423833	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	riafan.ru	https://riafan.ru/23463360-rossiiskie_vks_za_sutki_unichtozhili_320_ukrainskih_natsionalistov	российские вкс за сутки уничтожили     украинских националистов	True	433523	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	riafan.ru	https://riafan.ru/23468553-rossiiskaya_aviatsiya_za_sutki_unichtozhila_do_240_natsionalistov_i_40_edinits_tehniki_na_ukraine	российская авиация за сутки уничтожила до     националистов и    единиц техники на украине	True	424593	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	riafan.ru	https://riafan.ru/23472407-narodnaya_militsiya_dnr_soobschila_ob_unichtozhenii_40_ukrainskih_natsionalistov_za_sutki	народная милиция днр сообщила об уничтожении    украинских националистов за сутки	True	437007	(?=.*).*	(уничтож)	(наци|националист)
30 May 2022	riafan.ru	https://riafan.ru/23473892-v_nm_dnr_soobschili_ob_unichtozhenii_za_sutki_do_30_ukrainskih_natsionalistov	в нм днр сообщили об уничтожении за сутки до    украинских националистов	True	430967	(?=.*).*	(уничтож)	(наци|националист)
