Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
20 June 2022	True	скр возбудил более     дел об обстрелах всу донбасса	401438	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	после освобождения славянска всу в донбассе попадут в котел   мвд лнр	386778	(?=.*).*	(донбасс)	(обстрел|всу|наци)
27 June 2022	True	ходаковский объяснил  что даст россии разгром всу в донбассе	393385	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 March 2022	True	закрывала внука собой от обстрелов  истории эвакуированных жителей донбасса	10002	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	донбасс к шести вечера  обстрел россии  бомбы на пути беженцев  эвакуация нато	25254	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	ск россии возбудил два новых дела после гибели мирных жителей донбасса из за обстрела	32197	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	reuters  в обсе зафиксировали  многочисленные обстрелы  на линии соприкосновения в донбассе	510978	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	reuters  в обсе зафиксировали  многочисленных обстрелы  на линии соприкосновения в донбассе	511197	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	депутаты верховной рады попали под обстрел в донбассе	509982	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	журналисты cnn и afp попали под обстрел в донбассе при сопровождении главы мвд	515006	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	украина заявила  что в ходе обстрелов в донбассе погиб один украинский военный	511427	(?=.*).*	(донбасс)	(обстрел|всу|наци)
24 January 2022	True	народная милиция лнр заявила  что всу разместили зенитную установку в жилом районе города в донбассе	326847	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	лавров заявил  что россия очень встревожена нарастанием числа обстрелов в донбассе	329008	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	главком всу  киев не планирует наступательную операцию в донбассе	328625	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	задержанный украинский агент рассказал о планах киева в донбассе  массированные артобстрелы и диверсии	327867	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	на украине заявили  что глава партии  слуга народа  попал под обстрел в донбассе	327530	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	боррель осудил массированные обстрелы гражданских объектов в донбассе	335074	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	cnn  журналисты cnn и afp попали под обстрел в донбассе	335076	(?=.*).*	(донбасс)	(обстрел|всу|наци)
14 February 2022	True	ск россии возбудил уголовные дела о запрещенных методах войны после гибели людей под обстрелом в донбассе	327685	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	дмитрий песков   о беженцах с донбасса  люди вынуждены покидать родные дома из за провокаций всу	328721	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	песков заявил  что эвакуация жителей донбасса в россию вызвана агрессией всу в регионе	327267	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	группа журналистов попала под обстрел в донбассе	330418	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	в днр заявили  что всу впервые с      года обстреляли донбасс из систем  град	330275	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	захарова объяснила начало военной операции на украине увеличением обстрелов донбасса	330050	(?=.*).*	(донбасс)	(обстрел|всу|наци)
21 February 2022	True	выпускают снаряды по мирным жителям   украинские всу продолжают бомбить мирные города донбасса	327244	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 April 2022	True	украинские националисты подожгли корабль  донбасс  в порту мариуполя	135338	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	скр возбудил более тысячи уголовных дел о преступлениях украинских нацистов в донбассе	427194	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	события в донбассе на          мая  отступающие бойцы всу подорвали два моста  завершилась зачистка новоселовки	429677	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	эксклюзив фан  всу используют в донбассе иностранные мины parm модификации dm	426959	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	события в донбассе на          мая  под бахмутом уничтожен передовой пункт управления всу  в сватово    жителя ранены из за удара  точкой у	427004	(?=.*).*	(донбасс)	(обстрел|всу|наци)
23 May 2022	True	события в донбассе на          мая  вс рф уничтожают склады всу  жители макеевки погибли при украинских обстрелах	424807	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	события в донбассе на          мая  всу бьют  смерчами  по днр  бои в северодонецке	433490	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	события в донбассе на          мая  в мариуполе задержаны  заблудившиеся  националисты  всу создают  живой щит  в северодонецке	439287	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	политолог безпалько  россия возвращает мир на освобожденные от всу территории донбасса	431423	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	капитан дандыкин  затопленный в мариуполе корабль  донбасс  хранит тайны всу	429265	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	военный эксперт леонков  всу смогут обороняться в донбассе не больше нескольких недель	429279	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	события в донбассе на         июня  днр готовится открыть посольство в россии  всу выбиты из яровой	426154	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	татарский о стягивании сил всу в бахмут  взятие города приблизит освобождение донбасса	426325	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	канадский журналист хаэр  подразделения всу несут колоссальные потери в донбассе	439072	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	всу стягивают все силы в бахмут перед решающим сражением за донбасс	436080	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	что произошло на украине   июня  принудительный набор в тероборону в харькове  деморализация группировки всу в донбассе	438586	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	события в донбассе на         июня  всу захватили офис оон в краматорске  борьба за трассу бахмут   лисичанск	431182	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	агония киева  всу бьют по мирным жителям донбасса  пытаясь оттянуть свое поражение	431070	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	pucar  defensa  солдаты всу пожаловались на работу российских средств рэб в донбассе	430940	(?=.*).*	(донбасс)	(обстрел|всу|наци)
30 May 2022	True	дандыкин  тактика ведения боев всу в донбассе говорит об истерике в рядах украинской армии	430955	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	политолог кошкин  иностранным сми выгодно замалчивать преступления всу в донбассе	426607	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	события в донбассе на         июня  суд над британскими наемниками  всу обстреливают донецк	434977	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	что произошло на украине   июня  бегство солдат всу под святогорском  американское оружие в донбассе	433156	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	телеведущий норкин упрекнул галкина в замалчивании темы обстрелов мирного населения донбасса	436490	(?=.*).*	(донбасс)	(обстрел|всу|наци)
6 June 2022	True	что произошло на украине   июня   смертники  всу в донбассе  первый поезд из мелитополя в крым	429583	(?=.*).*	(донбасс)	(обстрел|всу|наци)
17 January 2022	True	взгляд   запад подготовил всу к масштабной провокации в донбассе    в мире	165789	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	взгляд   на украине заявили о ранении мирного жителя при обстреле в донбассе    новости дня	166667	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	взгляд   в лнр заявили о завершающей фазе подготовки всу к наступлению на донбасс    новости дня	166433	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	взгляд   женщина снайпер всу пригрозила убивать русских в донбассе    новости дня	171419	(?=.*).*	(донбасс)	(обстрел|всу|наци)
31 January 2022	True	взгляд   всу разместили бронетехнику рядом с линией соприкосновения в донбассе    новости дня	166448	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 March 2022	True	следком расследует обстрел мирного населения на донбассе	48706	(?=.*).*	(донбасс)	(обстрел|всу|наци)
4 April 2022	True	безоружный нацист   полезный нацист  пленные всу восстанавливают донбасс	47285	(?=.*).*	(донбасс)	(обстрел|всу|наци)
11 April 2022	True	зеленский раскрыл численность группировки всу перед  решающей битвой  в донбассе	66343	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	в днр заявили  что у всу в донбассе больше нет профессиональных военных	397564	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 July 2022	True	ковитиди  пострадавших от действий всу детей донбасса лечат в крыму	389536	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	события в донбассе на          апреля  техника всу стала трофеем войск днр  украинским военным предлагают сдаваться	438823	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	события в донбассе на          апреля  гумпомощь от ставрополья  подавление всу на  азовстали	416142	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	боец нм днр комерс сообщил о подлых ударах всу по детсадам и мирным жителям в донбассе	427817	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	литовкин  нато не хочет придавать огласке работу своих инструкторов в рядах всу в донбассе	427875	(?=.*).*	(донбасс)	(обстрел|всу|наци)
25 April 2022	True	ск  установлены еще шесть причастных к обстрелам донбасса командиров всу	422330	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	скр установил личности командиров всу  причастных к преступлениям против жителей донбасса	421005	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	события в донбассе на         мая  стычки на  азовстали   всу расстреляли гражданских	414990	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	аналитик евсеев  вс рф способны обратить в бегство группировку всу в донбассе	421605	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	события в донбассе на         мая  силы днр под нью йорком  угрозы националистов жителям лнр	421612	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	что произошло на украине   мая  массированные обстрелы всу в донбассе  стрельба на границе с приднестровьем	423291	(?=.*).*	(донбасс)	(обстрел|всу|наци)
2 May 2022	True	военный эксперт литовкин об освобождении попасной  важный шаг к полному разгрому всу в донбассе	402569	(?=.*).*	(донбасс)	(обстрел|всу|наци)
28 February 2022	True	ск возбудил два дела после обстрелов донбасса со стороны всу и нацбатальонов   и   марта	266078	(?=.*).*	(донбасс)	(обстрел|всу|наци)
