fetchdate_orig	page_domain_root	page_url	title_new	ID
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518222-voennii_ekspert_knutov_dal_neishee_osvobozhdenie_donbassa_stanet_neprostoi_zadachei	военный эксперт кнутов  дальнейшее освобождение донбасса станет непростой задачей	423694
03/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518340-zhitelyam_lisichanska_prihodilos_pit_vodu_iz_luzh_do_osvobozhdeniya_goroda_rossiei	жителям лисичанска приходилось пить воду из луж до освобождения города россией	423644
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518897-pasechnik_silam_vsu_ne_pozvolyat_otvoevat_osvobozhdennie_territorii_lnr	пасечник  силам всу не позволят отвоевать освобожденные территории лнр	434425
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23518994-v_osvobozhdennoi_ot_vsu_sartane_vozobnovila_rabotu_hlebopekarnya	в освобожденной от всу сартане возобновила работу хлебопекарня	437227
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519002-_mi_zhdali_ih_vse_vremya_kak_zhiteli_osvobozhdennogo_lisichanska_vstrechayut_rossiiskih_voennih	мы ждали их все время   как жители освобожденного лисичанска встречают российских военных	437236
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519117-gorod_lisichansk_osvobozhden_ot_kievskogo_rezhima	город лисичанск освобожден от киевского режима	437205
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519191-voennii_ekspert_dandikin_rasskazal_chto_posleduet_za_osvobozhdeniem_lisichanska	военный эксперт дандыкин рассказал  что последует за освобождением лисичанска	437271
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519430-glava_lnr_pasechnik_nazval_molnienosnoi_operatsiyu_po_osvobozhdeniyu_lisichanska	глава лнр пасечник назвал молниеносной операцию по освобождению лисичанска	437171
04/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519534-minoboroni_rf_pokazalo_kadri_iz_osvobozhdennogo_lisichanska	минобороны рф показало кадры из освобожденного лисичанска	430334
05/07/2022 00:00:00	riafan.ru	https://riafan.ru/23519513-politolog_tochka_osvobozhdenie_lnr_uprostit_i_uskorit_hod_spetsial_noi_operatsii_na_ukraine	политолог точка  освобождение лнр упростит и ускорит ход специальной операции на украине	438161
05/07/2022 00:00:00	riafan.ru	https://riafan.ru/23521383-evolyutsiya_svo_leonkov_ob_yasnil_pochemu_voiska_rf_s_kazhdim_razom_vse_bistree_osvobozhdayut_goroda_ldnr	эволюция сво  леонков объяснил  почему войска рф с каждым разом все быстрее освобождают города лднр	438753
06/07/2022 00:00:00	riafan.ru	https://riafan.ru/23522397-osvobozhdenie_slavyanska_stanet_novim_etapom_spetsoperatsii_vs_rf_na_ukraine	освобождение славянска станет новым этапом спецоперации вс рф на украине	433985
06/07/2022 00:00:00	riafan.ru	https://riafan.ru/23522585-_fan_povsyudu_kak_prohodilo_osvobozhdenie_lnr	фан повсюду   как проходило освобождение лнр	433923
06/07/2022 00:00:00	riafan.ru	https://riafan.ru/23523133-vtoroi_v_har_kovskoi_oblasti_gumtsentr_edinoi_rossii_otkrilsya_v_osvobozhdennom_izyume	второй в харьковской области гумцентр  единой россии  открылся в освобожденном изюме	428857
06/07/2022 00:00:00	riafan.ru	https://riafan.ru/23523263-predstaviteli_rgm_i_nm_lnr_dostavili_v_osvobozhdennii_lisichansk_gumanitarnuyu_pomosch	представители ргм и нм лнр доставили в освобожденный лисичанск гуманитарную помощь	428730
07/07/2022 00:00:00	riafan.ru	https://riafan.ru/23524423-zhiteli_lisichanska_rasskazali_o_proizoshedshih_posle_osvobozhdeniya_goroda_izmeneniyah	жители лисичанска рассказали о произошедших после освобождения города изменениях	430647
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23525758-profsoyuz_ekologov_rossii_predlozhil_sozdat_biblioteki_na_osvobozhdennih_territoriyah_ukraini	профсоюз экологов россии предложил создать библиотеки на освобожденных территориях украины	425348
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23525962-knutov_rasskazal_pochemu_osvobozhdenie_donbassa_ot_ukrainskih_silovikov_tol_ko_nachinaetsya	кнутов рассказал  почему освобождение донбасса от украинских силовиков только начинается	425500
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23526041-minoboroni_rf_pokazalo_rabotu_saperov_zvo_na_osvobozhdennih_territoriyah_pod_har_kovom	минобороны рф показало работу саперов зво на освобожденных территориях под харьковом	425456
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23526086-osvobozhdenie_lnr_i_amerikanskii_vzglyad_na_svo_obsudyat_v_shtabe_kiber_fronta_z	освобождение лнр и американский взгляд на сво обсудят в штабе кибер фронта z	425465
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23526652-knutov_vs_rf_primenili_novuyu_taktiku_v_hode_osvobozhdeniya_donbassa	кнутов  вс рф применили новую тактику в ходе освобождения донбасса	421994
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23526709-osvobozhdennaya_ot_ukrainskih_natsionalistov_hersonskaya_oblast_nachala_postavki_arbuzov_v_rossiyu	освобожденная от украинских националистов херсонская область начала поставки арбузов в россию	422018
08/07/2022 00:00:00	riafan.ru	https://riafan.ru/23527014-vistavku_trofeinogo_ukrainskogo_vooruzheniya_ustroili_v_osvobozhdennom_lisichanske	выставку трофейного украинского вооружения устроили в освобожденном лисичанске	422121
09/07/2022 00:00:00	riafan.ru	https://riafan.ru/23528135-v_lnr_ne_isklyuchili_vozmozhnost_provedeniya_voennih_tribunalov_na_osvobozhdennih_territoriyah	в лнр не исключили возможность проведения военных трибуналов на освобожденных территориях	432365
10/07/2022 00:00:00	riafan.ru	https://riafan.ru/23529385-minoboroni_rossii_pokazalo_pervuyu_dostroennuyu_kvartiru_v_osvobozhdennom_mariupole	минобороны россии показало первую достроенную квартиру в освобожденном мариуполе	432401
11/07/2022 00:00:00	riafan.ru	https://riafan.ru/23530309-zhitel_nitsa_lisichanska_brosilas_tselovat_osvoboditelei_goroda_ot_gneta_vsu	жительница лисичанска бросилась целовать освободителей города от гнета всу	431963
18/02/2022 00:00:00	deita.ru	https://deita.ru/article/511334	мишустин освободил от должности замглавы минэкономразвития иванова	39303
24/02/2022 00:00:00	deita.ru	https://deita.ru/article/511649	лнр  часть области освобождена от украинской армии	33509
02/04/2022 00:00:00	deita.ru	https://deita.ru/article/513908	в днр определились с судьбой имущества на освобожденных территориях	22186
20/06/2022 00:00:00	deita.ru	https://deita.ru/article/518340	приморские добровольцы освобождают братьев на донбассе	680
09/07/2022 00:00:00	aif.ru	https://aif.ru/politics/ukrainskie_voennye_lishili_gaza_zhiteley_osvobozhdennoy_zaporozhskoy_oblasti	украинские военные лишили газа жителей освобожденной запорожской области	184078
09/07/2022 00:00:00	aif.ru	https://aif.ru/society/army/vlasti_lnr_ne_isklyuchayut_provedenie_tribunalov_na_osvobozhdennyh_territoriyah	власти лнр не исключают проведение трибуналов на освобожденных территориях	180683
11/07/2022 00:00:00	aif.ru	https://aif.ru/incidents/voenkor_vyskazalsya_o_dosrochnom_osvobozhdenii_boevikov_iz_ukrainskogo_nacbata	военкор высказался о досрочном освобождении боевиков украинского нацбата	182119
