Week of fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
28 February 2022	regnum.ru	https://regnum.ru/news/3522099.html	сеть   кто то ещё жалеет нацистов     киев угрожает минску ракетным ударом	True	371725	(?=.*).*	(киев|режим)	(нацис)
27 June 2022	regnum.ru	https://regnum.ru/news/3631798.html	поставками оружия запад лишь продлевает агонию нацистского режима   лавров	True	393208	(?=.*).*	(киев|режим)	(нацис)
27 June 2022	regnum.ru	https://regnum.ru/news/3635465.html	сеть   нацисты   изуверы    киевские нацисты пытали     военнопленных	True	374929	(?=.*).*	(киев|режим)	(нацис)
2 May 2022	kommersant.ru	https://www.kommersant.ru:443/doc/5339503	мид россии обвинил израиль в поддержке  неонацистского режима в киеве	True	512766	(?=.*).*	(киев|режим)	(нацис)
6 June 2022	pda.kp.ru	https://pda.kp.ru/online/news/4777642/	лавров  чем дальнобойнее у киева будут системы  тем дальше будем отодвигать нацистов от границ рф	True	338681	(?=.*).*	(киев|режим)	(нацис)
28 February 2022	riafan.ru	https://riafan.ru/1617958-bloger-manukyan-ukraina-nakonec-izbavitsya-ot-marionetochnogo-i-neonacistskogo-rezhima	блогер манукян  украина наконец избавится от марионеточного и неонацистского режима	True	415669	(?=.*).*	(киев|режим)	(нацис)
21 March 2022	riafan.ru	https://riafan.ru/22046119-pensionerka_iz_lnr_zayavila_chto_kiev_prodalsya_nato_za_dollari	пенсионерка из лнр заявила  что киев продался нато за доллары   что произошло на украине    марта  вс рф вошли в славутич  нацисты выбиты из жилых районов мариуполя   представительство днр в сццк      мирных жителя получили ранения из за обстрелов всу	True	422581	(?=.*).*	(киев|режим)	(нацис)
21 March 2022	riafan.ru	https://riafan.ru/22046462-tsiganov_ves_mir_uznaet_o_prestupleniyah_ukrainskih_natsistov_posle_sverzheniya_kievskoi_hunti	цыганов  весь мир узнает о преступлениях украинских нацистов после свержения киевской хунты	True	424716	(?=.*).*	(киев|режим)	(нацис)
21 March 2022	riafan.ru	https://riafan.ru/22162057-senator_tsekov_o_pitochnih_lageryah_na_ukraine_vlast_v_kieve_propitana_natsistskoi_ideologiei	сенатор цеков о пыточных лагерях на украине  власть в киеве пропитана нацистской идеологией	True	418209	(?=.*).*	(киев|режим)	(нацис)
21 March 2022	riafan.ru	https://riafan.ru/22283708-portugal_skogo_neonatsista_vistavili_iz_inostrannogo_legiona_kieva	португальского неонациста выставили из иностранного легиона киева   федеральное агентство новостей no	True	416038	(?=.*).*	(киев|режим)	(нацис)
