Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
21 February 2022	True	принимающая украинских беженцев европа опасается повторения мигрантского кризиса	137418	(?=.*).*	(бежен)	(европ)
21 February 2022	True	в европе ожидают до   млн беженцев с украины	136750	(?=.*).*	(бежен)	(европ)
20 June 2022	True	озвучены печальные прогнозы ситуации с украинскими беженцами в европе	134708	(?=.*).*	(бежен)	(европ)
20 June 2022	True	в европе нашли сеть торговцев людьми  заманивающих украинских беженцев	150775	(?=.*).*	(бежен)	(европ)
30 May 2022	True	украинские беженцы настроили против себя европейцев	106393	(?=.*).*	(бежен)	(европ)
28 March 2022	True	это и есть тот предел   почему в европе заговорили о трудностях приёма беженцев с украины	240688	(?=.*).*	(бежен)	(европ)
13 June 2022	True	srf  европейцы начинают уставать от беженцев с украины	300569	(?=.*).*	(бежен)	(европ)
4 April 2022	True	украинские беженцы становятся проблемой для европы	40031	(?=.*).*	(бежен)	(европ)
30 May 2022	True	последние новости о ситуации вокруг украины на   июня      года  киев шантажирует байдена истерикой  украинских беженцев гонят из европы  всу бьет по детям	337469	(?=.*).*	(бежен)	(европ)
6 June 2022	True	политолог михеев озвучил три причины нахального поведения украинских беженцев в европе	437721	(?=.*).*	(бежен)	(европ)
13 June 2022	True	думали станут принцами   европа неслучайно сокращает помощь для украинских беженцев	432142	(?=.*).*	(бежен)	(европ)
13 June 2022	True	депутат госдумы бородай  европейцы устали от наглых нахлебников в виде украинских беженцев	424230	(?=.*).*	(бежен)	(европ)
27 June 2022	True	политолог шипилин о погромах украинских беженцев  скоро их погонят из европы с вилами и факелами	432553	(?=.*).*	(бежен)	(европ)
20 June 2022	True	в братании не исключили высылку украинских беженцев в руанду   европа	448586	(?=.*).*	(бежен)	(европ)
20 June 2022	True	в британии не исключили высылку украинских беженцев в руанду   европа	448588	(?=.*).*	(бежен)	(европ)
27 June 2022	True	польша сворачивает программы помощи беженцам с украины   европа	446824	(?=.*).*	(бежен)	(европ)
21 March 2022	True	до берлина с грудничком и без вещей  как петербуржцы помогают в европе украинским беженцам	451671	(?=.*).*	(бежен)	(европ)
18 April 2022	True	если не слишком устали   лучше не терять день   как украинские беженцы через петербург едут в европу	452199	(?=.*).*	(бежен)	(европ)
28 March 2022	True	раскачивание европы  сенатор ковитиди рассказала о кризисе в ес из за украинских беженцев	416571	(?=.*).*	(бежен)	(европ)
28 March 2022	True	сша рассчитывают  что украинские беженцы останутся в европе   федеральное агентство новостей no	406149	(?=.*).*	(бежен)	(европ)
28 March 2022	True	милонов  европа приняла толпу  халявщиков  под видом беженцев из украины   федеральное агентство новостей no	406811	(?=.*).*	(бежен)	(европ)
28 March 2022	True	европейцы начали возмущаться отказом украинских беженцев работать   федеральное агентство новостей no	407704	(?=.*).*	(бежен)	(европ)
4 April 2022	True	беженцы с украины рискуют попасть в сексуальное рабство в европе	416229	(?=.*).*	(бежен)	(европ)
4 April 2022	True	беженцы с украины рискуют попасть в сексуальное рабство в европе   федеральное агентство новостей no	413269	(?=.*).*	(бежен)	(европ)
4 April 2022	True	правозащитники опасаются  что беженцев с украины разберут на органы в европе	419582	(?=.*).*	(бежен)	(европ)
4 April 2022	True	правозащитники опасаются  что беженцев с украины разберут на органы в европе   федеральное агентство новостей no	429094	(?=.*).*	(бежен)	(европ)
28 March 2022	True	екатеринбуржец рассказал об отношении к беженцам украины в европе	293677	(?=.*).*	(бежен)	(европ)
30 May 2022	True	бельгийский политолог  в европе рост недовольства из за беженцев	300707	(?=.*).*	(бежен)	(европ)
2 May 2022	True	у европейцев кончились деньги и терпение на беженцев	541894	(?=.*).*	(бежен)	(европ)
18 April 2022	True	беженкам из украины в европе предлагают работу в публичных домах	494836	(?=.*).*	(бежен)	(европ)
2 May 2022	True	норкин  украинский посол мельник ведет себя так же  как его соотечественники беженцы в европе	492910	(?=.*).*	(бежен)	(европ)
30 May 2022	True	более     украинских несовершеннолетних беженцев застряли в европе	473170	(?=.*).*	(бежен)	(европ)
21 March 2022	True	украинские беженцы приводят европу в ужас   русь православная	80466	(?=.*).*	(бежен)	(европ)
16 May 2022	True	польша просит ес помочь прокормить украинских беженцев   европа	446855	(?=.*).*	(бежен)	(европ)
16 May 2022	True	небензя заявил о случаях торговли украинскими беженцами в европе   москва	447397	(?=.*).*	(бежен)	(европ)
23 May 2022	True	число беженцев в мире достигло     млн человек  данные оон   европа	446948	(?=.*).*	(бежен)	(европ)
20 June 2022	True	европол выявил сеть по торговле людьми  заманивающую украинских беженцев	473257	(?=.*).*	(бежен)	(европ)
18 July 2022	True	член запорожской вга рогов сообщил об изъятии детей украинских беженцев в европе	469821	(?=.*).*	(бежен)	(европ)
30 May 2022	True	погостили и хватит  украинские беженцы возмущены тем  что в восточной европе их лишают привилегий	336875	(?=.*).*	(бежен)	(европ)
