fetchdate_orig	page_domain_root	page_url	title_new	OR and OR2 and AND filters	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
27/02/2022 00:00:00	rusplt.ru	https://rusplt.ru/abroad/yaponiya-prisoedinitsya-k-ssha-621b796.html	япония присоединится к сша и другим западным странам в блокировании swift	True	34842	(?=.*).*	(swift)	()
27/02/2022 00:00:00	rusplt.ru	https://rusplt.ru/abroad/zapret-zapada-na-swift-621b315.html	запрет запада на swift нанесет серьезный удар по российским банкам	True	27097	(?=.*).*	(swift)	()
10/03/2022 00:00:00	rusplt.ru	https://rusplt.ru/policy/vedushchaya-ekonomicheskaya-derzhava-yevropi-6228a5b.html	ведущая экономическая держава европы выступила против отключения  сбербанка  от swift	True	45305	(?=.*).*	(swift)	()
06/05/2022 00:00:00	rusplt.ru	https://rusplt.ru/economy/tinkoff-soobshchil-ob-otklyuchenii-62754a0.html	тинькофф  сообщил об отключении от swift в сегменте евро	True	3529	(?=.*).*	(swift)	()
27/01/2022 00:00:00	news-front.info	https://news-front.info/2022/01/27/evropeyskiy-tsb-zaprosil-u-bankov-dannye-o-gotovnosti-k-otklyucheniyu-rf-ot-swift/	европейский цб запросил у банков данные о готовности к отключению рф от swift   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	23288	(?=.*).*	(swift)	()
27/01/2022 00:00:00	news-front.info	https://news-front.info/2022/01/27/medvedev-zayavil-chto-rossiyu-ne-smogut-otklyuchit-ot-sistemy-swift/	медведев заявил  что россию не смогут отключить от системы swift   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	33145	(?=.*).*	(swift)	()
27/01/2022 00:00:00	news-front.info	https://news-front.info/2022/01/27/otklyuchenie-rossii-ot-swift-oruzhie-oboyudoostroe-zapad-na-eto-ne-poydet-vladimir-soloveychik/	отключение россии от swift   оружие обоюдоострое  запад на это не пойдет    владимир соловейчик   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	33151	(?=.*).*	(swift)	()
29/01/2022 00:00:00	news-front.info	https://news-front.info/2022/01/29/es-sdelaet-huzhe-tolko-sebe-esli-otklyuchit-rossiyu-ot-swift-predsedatel-hds-merts/	ес сделает хуже только себе  если отключит россию от swift   председатель хдс мерц   последние новости  россии  украины  сирии и мира  новости новороссии  лнр  днр	True	16656	(?=.*).*	(swift)	()
24/01/2022 00:00:00	news.mail.ru	https://news.mail.ru/politics/49738125/	германия сняла с рассмотрения вопрос об отключении россии от swift	True	497335	(?=.*).*	(swift)	()
12/02/2022 00:00:00	news.mail.ru	https://news.mail.ru/politics/50022501/	украина подтвердила  что отключение россии от swift не входит в пакет санкций сша и ес	True	497745	(?=.*).*	(swift)	()
27/02/2022 00:00:00	news.mail.ru	https://news.mail.ru/economics/50227715/	санкции против swift  как это может выглядеть на практике	True	498288	(?=.*).*	(swift)	()
28/02/2022 00:00:00	news.mail.ru	https://news.mail.ru/politics/50239962/	китай не поддержал отключение россии от swift	True	497270	(?=.*).*	(swift)	()
02/03/2022 00:00:00	news.mail.ru	https://news.mail.ru/politics/50279279/	ес отключил от swift семь попавших под санкции российских банков	True	497170	(?=.*).*	(swift)	()
30/03/2022 00:00:00	news.mail.ru	https://news.mail.ru/economics/50669889/	в германии возникли проблемы из за отключения от swift российских банков	True	497320	(?=.*).*	(swift)	()
19/07/2022 00:00:00	riafan.ru	https://riafan.ru/23545725-_gazprombank_vvodit_komissiyu_za_swift_perevodi_i_hranenie_dollarov_i_evro_s_20_iyulya	газпромбанк  вводит комиссию за swift переводы и хранение долларов и евро с    июля	True	421650	(?=.*).*	(swift)	()
