Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
18 April 2022	True	жители мариуполя выбрались по гуманитарному коридору из домов у  азовстали	436354	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	командование всу не сообщало националистам об открытии гуманитарных коридоров вс рф	436375	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	депутат бородай  гумкоридоры нужны украине для вывода нацистов  запертых на  азовстали	436429	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны россии  киевский режим сорвал гуманитарную операцию по выводу людей из  азовстали	418940	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	последний шанс на спасение   политолог коровин назвал  гуманитарным жестом  отмену штурма  азовстали	436546	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	события на украине на          апреля  фсб сорвало атаку диверсантов на гумконвой   калибрами  разгромлен батальон всу	428987	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны россии  поднятие белых флагов станет началом гуманитарной паузы на  азовстали	428961	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	возле  азовстали  раздали гуманитарную помощь	436189	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
31 January 2022	True	в баку стартовал министериал стран участниц южного газового коридора	359592	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	россия откроет гумкоридор с  азовстали      мая	508424	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	минобороны заявило о постоянных обстрелах гуманитарных коридоров украинскими националистами	139633	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	добровольцы гумкорпуса югры очистили к дню победы монумент недалеко от  азовстали	98785	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	в генштабе всу признали  что рф удалось проложить сухопутный коридор в крым	20723	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	гуманитарный коридор из  азовстали  будет работать три дня	309685	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	гумкоридор работает  штурма нет  что происходит на  азовстали	306799	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 March 2022	True	минобороны  националисты продолжают обстреливать гуманитарные колонны	157545	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	минобороны  началом гуманитарной паузы станет поднятие белых флагов на  азовстали	159046	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 March 2022	True	мчс россии доставило более     тонн гуманитарного груза для донбасса и украины   российские войска ударом высокоточного оружия уничтожили базу всу в артемовске	421222	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 March 2022	True	им очень повезет  если они не станут грузом       бредихин о легионерах в всу    этот день в истории   что произошло    марта  праздники  факты  люди   исключительно античеловечное отношение  правозащитник ионов об отказе киева от гуманитарных миссий	419378	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 March 2022	True	лнр совместно с волонтерами доставили в трехизбенку гуманитарную помощь   народная милиция днр пресекла попытку эвакуации командира  азова  из мариуполя	418597	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 March 2022	True	россиянин  приехавший в донецк с гумпомощью  показал последствия обстрела жилого дома	411739	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	рф открыла гумкоридор для украинских боевиков с  азовстали	296177	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
18 April 2022	True	фсб поймала диверсантов всу  планировавших взорвать гумконвой	298614	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	минобороны анонсировало открытие гумкоридора с  азовстали	293581	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
13 June 2022	True	в оон назвали обстрел роддома в донецке нарушением гуманитарного права	199101	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	пленные всу рассказали о гуманном отношении военных вс россии к ним	386219	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	вс рф откроют гумкоридор с  азовстали  для мирных граждан	357756	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	ск россии даст правовую оценку факту обстрела всу получающих гумпомощь	358171	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	сеть   сам не жру и другому не дам     всу обстреляли гуманитарную колонну	372482	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
21 February 2022	True	обсе подтвердила нарушение всу норм международного гуманитарного права	218299	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 July 2022	True	представитель минобороны украины гуменюк опровергла установку флага на острове змеиный всу	470846	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
11 July 2022	True	глава вга херсонской области сальдо  всу направляли ракету в гуманитарный центр	474128	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
20 June 2022	True	что произошло на украине    июня  офицеры всу бегут из лисичанска  боевики обстреляли гумакцию под северодонецком	438281	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
14 February 2022	True	снайпер всу застрелил военнослужащего нм лнр   аргументы недели	490407	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
28 February 2022	True	минобороны рф  радикалы в составе всу могут устроить гуманитарную катастрофу в киеве  мариуполе  харькове и сумах	488591	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	минобороны сообщило об усилении обстрелов гумкоридора в мариуполе со стороны всу	416216	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	минобороны сообщило об усилении обстрелов гумкоридора в мариуполе со стороны всу   федеральное агентство новостей no	413261	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	всу обстреляли гуманитарный конвой под белгородом	273910	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
4 April 2022	True	азербайджан и франция обсудили расширение  южного газового коридора  и  зеленую  энергетику	536753	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
11 April 2022	True	ильхам алиев  сегодня значение южного газового коридора видно более отчетливо	534537	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
7 March 2022	True	минобороны сообщило о     обстрелах вблизи гумкоридоров на украине	20506	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	российские военные откроют гумкоридор для эвакуации с  азовстали	10854	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
25 April 2022	True	украинские военные обстреляли гуманитарную колонну под белгородом	338557	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
2 May 2022	True	в лнр заявили  что последняя ракетная атака всу могла привести к гуманитарной катастрофе	335003	(?=.*).*	(гум|коридор)	(нацист|обстрел|всу|азов)
