Week of fetchdate_orig	OR and OR2 and AND filters	title_new	ID	Regex String (AND)	Regex String (OR)	Regex String (OR)#2
11 April 2022	True	экономист высказался о судьбе юаня и евро на фоне заморозки активов россии	281842	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
2 May 2022	True	чехия заморозила имущество комбината из за возможной связи с россией	281725	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	франция заморозила активы центробанка рф на сумму    миллиарда евро	142473	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	сша пригрозили заморозкой золотому резерву россии  названы последствия	143445	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	путин назвал нелегимными решения западе о заморозке российских активов	141167	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 March 2022	True	путин назвал нелегитимными решения западе о заморозке российских активов	141168	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	мишустин  последствия заморозки российских активов уже проявляются на западе	146066	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
6 June 2022	True	япония заморозит активы еще двух российских банков	144638	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
25 April 2022	True	володин о заморозке российских активов  нам есть  чем ответить	84653	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	ес заморозил активы россии и белоруссии на    млрд евро	179121	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
18 April 2022	True	нидерланды заморозили российские активы на     миллиона евро	181665	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	австрия заморозила российские активы на     миллиона евро	180990	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
23 May 2022	True	ес заморозил активы цб рф на сумму     млрд	185374	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	в совбезе заморозку российских активов назвали  одной из величайших краж	381641	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	заморозка активов рф запустит процессы демонтажа мироустройства   эксперт	396344	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 December 2021	True	в кабуле женщины вышли на протест из за заморозки афганских активов	223515	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	медведев назвал заморозку активов цб и банков  войной без правил	12941	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	отключение российских банков от swift и заморозка активов центробанка рф  что дальше	540794	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	боррель подтвердил отключение ряда российских банков от swift и заморозку активов цб	242595	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	глава минфина силуанов  запад заморозил около      млрд золотовалютных резервов россии	243428	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	экономист остапкович объяснил ситуацию с заморозкой      млрд золотовалютных резервов россии	243426	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	тасс  нидерланды заморозили российские активы на сумму более      млн	247865	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	люксембург в рамках санкций заморозил российские активы на      млрд	511448	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 March 2022	True	великобритания заморозила активы трех британских компаний в рамках антироссийских санкций	507803	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	британия полностью заморозила активы сбербанка и мкб	507708	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	евросоюз заморозил активы россиян на     млрд	514578	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
4 April 2022	True	каймановы острова заморозили российские активы на      млрд	513069	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
2 May 2022	True	премьер японии объявил о заморозке активов     россиян	515510	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
16 May 2022	True	европарламент проголосовал за заморозку активов герхарда шрёдера за пост в  роснефти	513472	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
6 June 2022	True	люксембург заморозил российские активы на      млрд	515322	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
27 June 2022	True	международная группа по заморозке российских активов отчиталась о блокировке     млрд за     дней работы	513211	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
11 July 2022	True	евросоюз заморозил активы российских предпринимателей на       млрд	519038	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	финансовая подушка безопасности находится под угрозой  чем обернется заморозка активов цб	136937	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов  запад заморозил      млрд золотовалютных резервов россии	136674	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
14 March 2022	True	нидерланды заморозили активы россии на   млн евро	136926	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
21 February 2022	True	запад заморозит весь валютный резерв центробанка россии   газета ru	311535	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
28 February 2022	True	в японии решили заморозить активы российских  дзайбацу    газета ru	307907	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
7 March 2022	True	силуанов назвал заморозку активов цб  дефолтом со стороны запада    газета ru	307657	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
9 May 2022	True	в финляндии заморозили счета faberlic и арестовали имущество главреда  мк	371859	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
9 May 2022	True	в португалии заморозили имущество абрамовича на    млн евро   publico	354860	(?=.*).*	(замороз)	(актив|валют|резерв|имущ)
